date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:08	39597/39597	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202016%2013:58:08%20GMT	http://www.sketchup.com/intl/en/developer/index	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/index.html	(from )
15:58:08	641/641	---M-Z	200	added ('OK')	text/plain	date:Sat,%2009%20Apr%202016%2018:08:51%20GMT	http://www.sketchup.com/robots.txt		(from )
15:58:09	1576/1576	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202015%2020:52:09%20GMT	http://www.sketchup.com/intl/en/developer/assets/script_head.js	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/script_head.js	(from http://www.sketchup.com/intl/en/developer/index)
15:58:09	274197/274197	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202015%2020:52:08%20GMT	http://www.sketchup.com/intl/en/developer/assets/screen.css	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/screen.css	(from http://www.sketchup.com/intl/en/developer/index)
15:58:11	515/515	---M--	200	added ('OK')	text/plain	date:Tue,%2017%20Nov%202015%2020:52:07%20GMT	http://www.sketchup.com/intl/en/developer/assets/saved_resource	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/saved_resource	(from http://www.sketchup.com/intl/en/developer/index)
15:58:11	24450/24450	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202015%2020:52:07%20GMT	http://www.sketchup.com/intl/en/developer/assets/jsapi.js	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/jsapi.js	(from http://www.sketchup.com/intl/en/developer/index)
15:58:12	422/422	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202011%2003:00:23%20GMT	http://ssl.gstatic.com/editor/button-bg.png	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/ssl.gstatic.com/editor/button-bg.png	(from http://www.sketchup.com/intl/en/developer/index)
15:58:12	2311/2311	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202015%2020:52:09%20GMT	http://www.sketchup.com/intl/en/developer/assets/table.css	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/table.css	(from http://www.sketchup.com/intl/en/developer/index)
15:58:12	592/592	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202015%2020:52:05%20GMT	http://www.sketchup.com/intl/en/developer/assets/api.js	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/api.js	(from http://www.sketchup.com/intl/en/developer/index)
15:58:13	615/615	---M--	200	added ('OK')	text/plain	date:Tue,%2017%20Nov%202015%2020:52:08%20GMT	http://www.sketchup.com/intl/en/developer/assets/saved_resource(1)	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/saved_resource(1)	(from http://www.sketchup.com/intl/en/developer/index)
15:58:14	91342/91342	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Nov%202015%2020:52:07%20GMT	http://www.sketchup.com/intl/en/developer/assets/jquery.min.js	C:/Users/tthomas2/Desktop/SU-RubyAPI/SketchUp%20Ruby%20API%20Docs/www.sketchup.com/intl/en/developer/assets/jquery.min.js	(from http://www.sketchup.com/intl/en/developer/index)
